"Timestamp","Gender","Programme","What would be your favorite scent to have on your freshly-washed clothes?","How much are you willing to pay for your laundry per wash? 
(Price range: RM4.00 to RM8.00)","What would you want as a Loyalty Reward?
(Rewards for repeat-customers)","Would you like a subscription-based service?
[Benefits may include: Priority Queue, Wider Selection on ""Scent Customization"", etc.]"
"2023/10/31 2:52:58 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","4","Free Washing Service","Yes"
"2023/10/31 2:56:48 PM GMT+8","Male","Foundation in Engineering (PI009)","Fruity Scent","RM4","Free Drying Service","No"
"2023/10/31 2:57:39 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 2:57:59 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 2:59:15 PM GMT+8","Female","Foundation in Engineering (PI009)","Fresh Scent","8","Free Drying Service","Yes"
"2023/10/31 3:04:41 PM GMT+8","Male","Foundation in Law (PI005/PI007)","Fruity Scent","RM4.00","Free Washing Service","Yes"
"2023/10/31 3:05:02 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","RM4.00","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 3:18:10 PM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","RM5. 00","Free Drying Service","Yes"
"2023/10/31 3:23:21 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","4","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 3:33:13 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","4.00","Free Drying Service","Yes"
"2023/10/31 3:40:16 PM GMT+8","Male","Foundation in Engineering (PI009)","Fruity Scent","RM5.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 3:50:39 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","6","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 4:01:59 PM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 4:10:52 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","4","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/10/31 4:18:40 PM GMT+8","Male","Foundation in Science (PI080)","Fresh Scent","4","Free Drying Service","Yes"
"2023/10/31 4:20:50 PM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","RM4.00","Free Drying Service","Yes"
"2023/10/31 4:40:28 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","RM 4","Free Drying Service","Yes"
"2023/10/31 6:09:56 PM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","Rm 4","Free Washing Service","Yes"
"2023/10/31 6:52:41 PM GMT+8","Female","Foundation in TESL (PI020)","Fresh Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:35:09 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 7:49:16 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","6","Free Drying Service","Yes"
"2023/10/31 8:21:24 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","4.00","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 8:22:28 PM GMT+8","Female","Foundation in Science (PI080)","Fruity Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 8:27:41 PM GMT+8","Female","Foundation in TESL (PI020)","Floral Scent","RM 4","Free Drying Service","Yes"
"2023/10/31 8:48:12 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","5","Free Washing Service","Yes"
"2023/10/31 9:02:23 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/10/31 9:09:09 PM GMT+8","Female","Foundation in Science (PI080)","Floral Scent","RM5","Free Drying Service","No"
"2023/10/31 9:33:15 PM GMT+8","Female","Foundation in TESL (PI020)","Floral Scent","5","Free Drying Service","Yes"
"2023/10/31 9:59:58 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","4","Free Drying Service","Yes"
"2023/10/31 10:00:35 PM GMT+8","Female","Foundation in Law (PI005/PI007)","Floral Scent","5","Free Washing Service","Yes"
"2023/10/31 10:02:03 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","5.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","No"
"2023/10/31 10:02:34 PM GMT+8","Female","Foundation in Science (PI080)","Floral Scent","4.00","Free Drying Service","Yes"
"2023/10/31 10:43:56 PM GMT+8","Male","Foundation in Science (PI080)","Fruity Scent","RM 5","Free Drying Service","Yes"
"2023/10/31 11:03:19 PM GMT+8","Male","Foundation in Engineering (PI009)","Oceanic Scent","4","Free Drying Service","Yes"
"2023/11/01 1:02:55 AM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","RM5.00","Free Drying Service","Yes"
"2023/11/01 6:54:46 AM GMT+8","Female","Foundation in Science (PI080)","Floral Scent","5.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/01 8:43:31 AM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","4","Free Door-to-Door Clothes Delivery Service","No"
"2023/11/01 9:02:33 AM GMT+8","Male","Foundation in Science (PI080)","Oceanic Scent","RM8.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/01 1:05:15 PM GMT+8","Female","Foundation in TESL (PI020)","Fruity Scent","5.00","Free Drying Service","Yes"
"2023/11/01 1:10:07 PM GMT+8","Female","Foundation in Law (PI005/PI007)","Fruity Scent","RM4","Free Drying Service","Yes"
"2023/11/01 3:22:00 PM GMT+8","Female","Foundation in Law (PI005/PI007)","Floral Scent","5","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/01 3:22:25 PM GMT+8","Male","Foundation in Science (PI080)","Oceanic Scent","6","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/11/01 3:23:18 PM GMT+8","Male","Foundation in Engineering (PI009)","Fresh Scent","5","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/01 3:46:37 PM GMT+8","Male","Foundation in Law (PI005/PI007)","Floral Scent","4.20","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/01 6:15:59 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","5.00","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/01 7:54:04 PM GMT+8","Female","Foundation in Engineering (PI009)","Floral Scent","5","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/11/01 8:10:49 PM GMT+8","Male","Foundation in Science (PI080)","Floral Scent","5","Free Drying Service","Yes"
"2023/11/01 10:48:30 PM GMT+8","Female","Foundation in Engineering (PI009)","Oceanic Scent","6.50","Free Drying Service","Yes"
"2023/11/01 11:20:08 PM GMT+8","Male","Foundation in Law (PI005/PI007)","Fresh Scent","RM4.00","Free Drying Service","Yes"
"2023/11/01 11:20:31 PM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","RM8.00","Free Washing Service","Yes"
"2023/11/02 7:01:30 AM GMT+8","Male","Foundation in Law (PI005/PI007)","Fresh Scent","RM 4.00","Free Drying Service","Yes"
"2023/11/02 7:59:09 AM GMT+8","Male","Foundation in Law (PI005/PI007)","Fresh Scent","Rm4.00","Free Washing Service","Yes"
"2023/11/02 9:18:56 AM GMT+8","Female","Foundation in Science (PI080)","Oceanic Scent","4","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/11/02 9:57:05 AM GMT+8","Male","Foundation in Engineering (PI009)","Floral Scent","6","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/02 2:47:32 PM GMT+8","Male","Foundation in Engineering (PI009)","Oceanic Scent","4","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/05 2:06:33 PM GMT+8","Male","Foundation in Science (PI080)","Fresh Scent","7","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/11/05 2:13:46 PM GMT+8","Female","Foundation in Science (PI080)","Floral Scent","7","Free ""Suds n' Sparkle"" exclusive Laundry Bag","Yes"
"2023/11/05 2:18:34 PM GMT+8","Male","Foundation in Engineering (PI009)","Oceanic Scent","5.00","Free Washing Service","Yes"
"2023/11/05 2:57:42 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","5","Free Washing Service","Yes"
"2023/11/05 5:37:50 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","5.70","Free Door-to-Door Clothes Delivery Service","Yes"
"2023/11/05 8:30:12 PM GMT+8","Female","Foundation in Science (PI080)","Fresh Scent","6.50","Free Washing Service","Yes"
